date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:29	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2002:26:29%20GMT	https://iteck-html.themescamp.com/robots.txt		(from )
09:26:29	128782/128782	---M-Z	200	added ('OK')	text/html	etag:%221f70e-603b0217d32b1-gzip%22	https://iteck-html.themescamp.com/	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/index.html	(from )
09:26:30	548/548	---M--	200	added ('OK')	image/png	etag:%22635bd3fb-224%22	https://iteck-html.themescamp.com/assets/img/fav.png	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/assets/img/fav.png	(from https://iteck-html.themescamp.com/)
09:26:30	81936/81936	---M-Z	200	added ('OK')	text/css	etag:%22659a3017-30d8%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-icons/1.10.5/font/bootstrap-icons.min.css	C:/Files/Work/landing%20page%20templates/iteck/cdnjs.cloudflare.com/ajax/libs/bootstrap-icons/1.10.5/font/bootstrap-icons.min.css	(from https://iteck-html.themescamp.com/)
09:26:31	155845/155845	---MCZ	200	added ('OK')	text/css	etag:W/%22635bd3fb-260c5%22	https://iteck-html.themescamp.com/assets/css/lib/bootstrap.min.css	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/assets/css/lib/bootstrap.min.css	(from https://iteck-html.themescamp.com/)
09:26:32	174564/174564	---MCZ	200	added ('OK')	text/css	etag:W/%22635bd3fb-2a9e4%22	https://iteck-html.themescamp.com/assets/css/lib/all.min.css	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/assets/css/lib/all.min.css	(from https://iteck-html.themescamp.com/)
09:26:32	77758/77758	---MCZ	200	added ('OK')	text/css	etag:W/%22635bd3fb-12fbe%22	https://iteck-html.themescamp.com/assets/css/lib/animate.css	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/assets/css/lib/animate.css	(from https://iteck-html.themescamp.com/)
09:26:32	11138/11138	---MCZ	200	added ('OK')	text/css	etag:W/%22635bd3fb-2b82%22	https://iteck-html.themescamp.com/assets/css/lib/jquery.fancybox.css	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/assets/css/lib/jquery.fancybox.css	(from https://iteck-html.themescamp.com/)
09:26:33	4210/4210	---MCZ	200	added ('OK')	text/css	etag:W/%22635bd3fb-1072%22	https://iteck-html.themescamp.com/assets/css/lib/lity.css	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/assets/css/lib/lity.css	(from https://iteck-html.themescamp.com/)
09:26:33	13580/13580	---MCZ	200	added ('OK')	text/css	etag:W/%22635bd3fb-350c%22	https://iteck-html.themescamp.com/assets/css/lib/swiper.min.css	C:/Files/Work/landing%20page%20templates/iteck/iteck-html.themescamp.com/assets/css/lib/swiper.min.css	(from https://iteck-html.themescamp.com/)
